iso,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GAB,31777,32561,33346,34128,34899,35643,36343,36991,37584,38130,38628,39082,39513,39953,40432,40986,41648,42438,43372,44465,45739,47210,48856,50640,52524,54478,56476,58473,60410,62220,63816,65119,66105
GMB,36133,37777,39486,41203,42891,44501,45994,47368,48630,49793,50877,51917,52959,54046,55207,56466,57832,59294,60838,62463,64168,65950,67798,69694,71620,73561,75505,77439,79349,81217,83026,84762,86424
GEO,98016,97989,97362,96089,94148,91513,88195,84338,80131,75740,71332,67046,62999,59319,56144,53632,51901,50914,50585,50838,51558,52610,53819,55013,56059,56850,57335,57550,57529,57266,56752,55991,55028
DEU,852149,854977,853782,848650,839886,828645,816619,805487,796381,789588,784611,780303,775183,768231,759269,748408,736127,723480,711470,700713,691645,684459,679123,675724,674568,676424,682131,691705,704643,720106,736736,752931,767241
GHA,537111,549425,561203,572304,582694,592532,602119,611796,621782,632094,642545,652813,662610,671801,680450,688764,697055,705699,714997,725101,736207,748436,761575,775297,789286,803053,816072,827997,838621,847880,855884,862919,869462
GRC,125192,119619,114796,110978,108290,106720,106095,106039,106219,106475,106680,106779,106834,106899,106975,107161,107594,108319,109286,110362,111282,111722,111449,110331,108359,105635,102362,98858,95394,92115,89090,86303,83655
GRD,3161,3146,3097,3018,2911,2785,2648,2512,2386,2275,2182,2106,2042,1986,1937,1896,1864,1841,1828,1823,1824,1831,1840,1850,1858,1865,1870,1873,1874,1874,1869,1862,1849
GTM,337688,340971,344986,349901,355712,362245,369170,376029,382445,388233,393377,398006,402313,406376,410101,413176,415209,415999,415540,414004,411762,409311,407173,405761,405288,405844,407350,409464,411867,414404,416944,419403,421755
GIN,268740,276043,283427,290801,298087,305217,312148,318873,325377,331628,337594,343252,348619,353721,358578,363199,367589,371786,375846,379832,383798,387787,391843,396018,400376,404975,409855,415022,420481,426247,432354,438835,445661
GNB,43018,43566,44078,44586,45104,45626,46136,46616,47059,47474,47876,48288,48734,49234,49801,50445,51170,51964,52814,53712,54653,55636,56650,57682,58713,59724,60694,61615,62477,63275,64006,64672,65288
GUY,22841,22372,21946,21612,21387,21265,21225,21215,21189,21121,20989,20777,20492,20144,19740,19289,18800,18294,17794,17320,16899,16553,16286,16096,15979,15921,15905,15905,15899,15875,15824,15746,15652
HTI,261926,262555,262545,262355,262224,262318,262683,263202,263783,264436,265160,265940,266744,267547,268334,269105,269864,270617,271361,272082,272772,273425,274023,274540,274949,275207,275272,275129,274780,274236,273527,272699,271800
HND,176279,179007,181806,184720,187780,191084,194734,198707,202902,207172,211284,214974,218033,220314,221750,222344,222185,221489,220453,219186,217723,216041,214132,212050,209922,207940,206307,205141,204501,204395,204772,205519,206440
HUN,127025,125696,125339,125265,125131,124539,123163,120985,118081,114537,110590,106583,102895,99819,97490,95972,95220,94983,95018,95183,95293,95182,94802,94153,93259,92249,91317,90639,90321,90362,90678,91114,91474
ISL,4238,4256,4284,4323,4367,4410,4443,4460,4456,4432,4390,4332,4268,4207,4156,4125,4123,4152,4207,4285,4376,4467,4546,4602,4631,4627,4590,4529,4453,4368,4282,4201,4131
IND,27006001,27183308,27314506,27411092,27480429,27531695,27573733,27612189,27651267,27693886,27741276,27791886,27839104,27876287,27899328,27907631,27902575,27882541,27842261,27773459,27656029,27466953,27199286,26857933,26456947,26023585,25592369,25196599,24861636,24599836,24414382,24296564,24220882
IDN,4876505,4836129,4794392,4754754,4718911,4685597,4651609,4614599,4574632,4534589,4501088,4482249,4483374,4506703,4551206,4612778,4684734,4758163,4825500,4882626,4927682,4961495,4987737,5008973,5025030,5034471,5035268,5026351,5007771,4980689,4947125,4909662,4871221
IRN,2002136,2001223,1976817,1931262,1867195,1788187,1698618,1604489,1511897,1425736,1350347,1288326,1238937,1201325,1175751,1162013,1159207,1165049,1177197,1193998,1214034,1236375,1260715,1286606,1313263,1341082,1371119,1403593,1437603,1471203,1500981,1523087,1535030
IRQ,599310,611543,623914,636399,649117,662441,676853,692641,709875,728403,747876,767798,787569,806684,824850,841681,856907,870830,883947,896757,910406,926229,944823,966175,989754,1014071,1037127,1057214,1073305,1085274,1093821,1100350,1106775
IRL,63336,60748,58189,55820,53758,52099,50887,50080,49638,49557,49831,50445,51356,52516,53883,55464,57285,59328,61531,63791,65981,67973,69664,70963,71801,72113,71867,71141,70039,68642,67050,65366,63677
